channel_id,channel_name,channel_reader_count
CHAN1,Duke Energy,743437
CHAN2,CKE Restaurants,778592
CHAN3,Simply Appraisals,167773
CHAN4,Goodyear Tire and Rubber Company,448820
CHAN5,Ideal Industries,513055
CHAN6,CoolTouch Monitors,432247
CHAN7,Duke Energy,368318
CHAN8,DaVita,368109
CHAN9,J. P. Morgan Chase and Co.,158547
CHAN10,Universal Studios,322342
CHAN11,Target Source,756335
CHAN12,Target Source,650938
CHAN13,Myspace,676005
CHAN14,R. R. Donnelley & Sons,236350
CHAN15,VitaGrey,662299
CHAN16,United Parcel Service,666228
CHAN17,Transocean,401256
CHAN18,Honest Air Group,322204
CHAN19,Magik Lamp,769479
CHAN20,Medimix International,477741
CHAN21,Ideal Industries,471678
CHAN22,Omni Architectural Designs,323936
CHAN23,Ace Hardware,188268
CHAN24,Bellwether Technology Corporation,301256
CHAN25,Midway Games,487061
CHAN26,Rich and Happy,380181
CHAN27,Dresser Inc.,369455
CHAN28,AOL,433231
CHAN29,Hunt Petroleum,535198
CHAN30,Personal & Corporate Design,606793
CHAN31,Star Interior Design,558509
CHAN32,Jarden,715799
CHAN33,Bushmaster Firearms International,677149
CHAN34,Intelacard,626993
CHAN35,Manu Connection,101114
CHAN36,Sky High Financial Advice,190296
CHAN37,Plan Smart,733531
CHAN38,Gillette,416826
CHAN39,Asiatic Solutions,758211
CHAN40,Southern California Edison,216685
CHAN41,Allegheny Technologies,655090
CHAN42,Open Interface,181001
CHAN43,Emerson Electric Company,149105
CHAN44,Devon Energy,296768
CHAN45,Albertsons LLC,538777
CHAN46,Allergan,257574
CHAN47,Complete Tech,301627
CHAN48,Lexmark,365104
CHAN49,Crazy Eddie,617795
CHAN50,Birdwell,269557
CHAN51,Ashland Inc.,175541
CHAN52,Strategy Consulting,696962
CHAN53,Omni Tech,172912
CHAN54,Marathon Oil,637497
CHAN55,CBS Corporation,586826
CHAN56,Advanced Micro Devices,577895
CHAN57,Strong Life,224063
CHAN58,Avery Dennison,567984
CHAN59,Danaher,250602
CHAN60,Triumph Group,648776
CHAN61,"Dell, Inc.",485972
CHAN62,Netobill,459408
CHAN63,Safeco Corporation,312484
CHAN64,"Blyth, Inc.",799542
CHAN65,Netcom Business Services,499671
CHAN66,Fairchild Semiconductor,294743
CHAN67,Marriott Corporation,577453
