machine_id,assigned_ws_id,is_available_flag,last_maint_date
XFX71241973,WS-152918,N,2025-01-07
UPQ18009428,WS-152717,N,2024-09-23
CJA09862474,,Y,2025-01-18
LCR42501470,WS-154970,N,2025-01-05
HYZ42999546,,Y,2024-10-06
FRE93411174,WS-151028,N,2024-12-31
IEL27415653,WS-152075,N,2024-04-21
RDR02059500,,Y,2024-05-08
DEM73297377,,Y,2024-10-04
KDC40789796,WS-150085,N,2024-11-13
FNO07353762,,Y,2024-06-27
PVK59358280,,Y,2025-02-21
EWO57346884,,Y,2024-10-16
QAS48663442,WS-153589,N,2024-11-24
CKM45232221,,Y,2024-12-15
NJR34356961,WS-150549,N,2024-12-16
NZG44327045,WS-150102,N,2024-08-09
TWD58466514,,Y,2024-11-27
JGO64969849,WS-154296,N,2025-01-15
LSV94541585,,Y,2025-03-06
VCH08399579,WS-153153,N,2024-12-04
SPJ99535093,,Y,2024-08-09
AYM64987198,WS-154846,N,2024-06-06
ITL73455114,,Y,2024-08-23
YXU93470324,WS-155146,N,2024-10-28
EXO38029530,WS-150082,N,2024-04-14
YEK62911198,,Y,2024-07-12
TFD14969885,,Y,2024-11-15
BOO58211356,WS-152693,N,2024-07-05
YLD15268082,,Y,2024-07-15
OMW71733259,,Y,2024-05-06
TXX90631344,WS-154474,N,2025-01-12
YPV36279831,,Y,2024-08-02
NZJ03584786,WS-155103,N,2025-02-28
GCS83568673,WS-154218,N,2025-02-02
DZZ83759344,WS-154785,N,2025-02-04
PYO98122250,WS-154824,N,2025-03-02
YGY71409186,,Y,2024-11-29
ONV18767999,WS-153500,N,2024-11-21
RDJ53470609,WS-150082,N,2024-04-11
CKO33976127,,Y,2024-09-12
EIH58519251,WS-153213,N,2024-08-27
GBE08654880,WS-155792,N,2024-05-22
RKI44590229,,Y,2024-07-21
XQV08351890,,Y,2024-08-08
XZY63987769,,Y,2024-05-24
XSH18450742,WS-153334,N,2025-02-02
ZUR60732385,,Y,2024-05-13
JXM56257246,WS-152578,N,2024-11-27
XPH80354167,WS-151249,N,2024-09-12
PRK27501723,,Y,2024-11-08
RLF81265044,WS-153020,N,2025-03-12
ANW03252177,,Y,2025-02-16
WHA09836471,,Y,2024-07-31
BCK99403980,WS-151500,N,2024-11-17
ADX73452878,WS-155387,N,2024-06-21
HOF81845591,,Y,2024-09-24
VLX27662072,WS-153367,N,2024-12-17
ROZ68650653,WS-153506,N,2024-08-07
ZRT19601894,,Y,2025-03-02
OWR42915694,,Y,2024-07-22
ARD00679355,,Y,2024-06-03
XEN30964977,WS-151047,N,2024-12-07
CAY84233944,WS-152299,N,2024-09-07
YIF01608998,,Y,2024-09-11
ERT29494386,WS-155084,N,2024-08-04
NQV88513601,,Y,2025-02-09
XLN56094029,WS-153013,N,2024-07-31
UKL87910435,WS-154534,N,2024-06-24
QZE67930445,,Y,2024-12-29
YIN92028817,,Y,2024-09-30
TNG93629202,WS-155788,N,2024-08-03
LCI19548066,WS-153449,N,2024-06-25
SKT94798915,,Y,2024-10-27
AZZ83204245,,Y,2025-02-05
HKG63706795,,Y,2024-08-18
BNB65870907,,Y,2025-03-19
AFT83407932,WS-152486,N,2025-03-09
QPU08587330,WS-150475,N,2025-02-10
JAO84651661,WS-153848,N,2024-08-10
VQR27583195,,Y,2024-07-13
FTE45427153,,Y,2024-09-02
QBS93776024,WS-152883,N,2025-01-08
SJU44699022,WS-150509,N,2024-04-20
OKJ49381854,WS-152448,N,2025-01-21
JFA03611331,WS-153140,N,2024-11-04
OZW90042477,,Y,2024-12-28
EUH93121270,,Y,2024-12-14
EXW62261351,WS-151809,N,2024-11-05
XXA39598756,WS-154547,N,2024-09-22
NHS70006961,,Y,2024-05-27
LDV57455276,WS-152978,N,2024-12-31
DHJ76608232,WS-150864,N,2025-03-10
QBZ72397728,WS-150198,N,2025-01-05
NDP91677628,WS-153176,N,2024-08-16
BFW26242301,WS-154535,N,2024-12-10
OIO33419614,WS-153955,N,2025-02-26
LNU71981005,,Y,2024-12-06
BPB61522854,WS-150964,N,2024-12-19
ZZP94674072,,Y,2024-10-09
BOK98711872,WS-150322,N,2024-04-06
KZU62041496,,Y,2024-11-07
NRN88238139,WS-150037,N,2025-03-19
HVB05469475,WS-150430,N,2024-11-18
KXM68485710,,Y,2025-01-18
PXH67962492,WS-153026,N,2024-10-06
COE56047290,WS-150434,N,2025-01-21
NZP93470655,WS-150946,N,2024-12-28
MDR16406867,,Y,2024-11-14
EID20100383,,Y,2024-12-10
QAM22389119,WS-154368,N,2024-12-04
HCO42290238,,Y,2024-05-13
UID07626948,,Y,2024-07-01
UKX83794090,WS-153773,N,2024-07-31
JBC46515141,WS-150624,N,2024-07-04
BTI21332402,,Y,2024-11-21
YAC04237008,,Y,2024-07-08
GZJ96350471,WS-151683,N,2024-08-14
DUY37957785,,Y,2024-12-16
DMQ83832532,WS-154495,N,2024-10-21
PZD52251156,WS-152022,N,2025-02-02
DFL90294525,,Y,2024-06-15
RDB45430798,WS-152832,N,2025-01-04
WVN32441770,,Y,2024-06-06
DTW19276049,,Y,2025-03-10
YYZ10367255,WS-155887,N,2025-01-10
IRO28515066,,Y,2024-12-25
QEO25630432,,Y,2024-08-26
OPG10140566,,Y,2024-11-20
ZUP35355152,,Y,2024-06-28
IYI50787742,WS-150475,N,2024-04-14
CQO74062592,,Y,2025-03-21
BTG23716795,WS-153293,N,2024-09-28
MAS13443397,,Y,2024-05-09
WTN52239019,WS-154822,N,2025-03-18
VMS50731473,,Y,2025-03-09
MEB24245015,,Y,2024-05-23
UYU92232111,WS-155966,N,2024-09-14
RSZ67166790,,Y,2025-01-16
UOE04458541,,Y,2024-11-04
NFO75431360,,Y,2025-03-23
MEO06346089,WS-154493,N,2024-08-05
OMV77978606,WS-150686,N,2024-10-09
TGU74538277,,Y,2024-08-04
ICT65192131,,Y,2024-06-01
GCL41302249,,Y,2024-11-14
OZZ69246653,WS-153352,N,2024-06-26
WQO92770156,,Y,2024-06-05
ZGZ62320820,WS-155338,N,2024-07-11
IYK60397965,,Y,2024-08-26
GXF93092044,WS-151370,N,2024-07-04
FFL32468370,,Y,2024-12-12
SXQ89072154,,Y,2024-07-29
PVW29940329,,Y,2024-04-13
FRA42654206,,Y,2024-07-22
OZT24964469,WS-155265,N,2024-09-09
RIQ97290516,WS-154095,N,2025-01-23
UYP40037697,,Y,2024-11-16
LVU43666771,,Y,2025-03-05
GXN77238669,,Y,2024-08-10
DNQ96253373,,Y,2024-10-17
LGX36442759,WS-151670,N,2024-11-13
GNA07444809,WS-151634,N,2024-09-26
VJY94944033,WS-151718,N,2024-04-22
TPP69094847,,Y,2025-01-14
VRM44685119,,Y,2024-06-29
XBH16395390,WS-153914,N,2024-08-02
JMJ84476607,WS-153649,N,2024-08-04
ICL91349394,,Y,2024-07-16
YEB34789613,WS-155544,N,2025-02-27
MVR79378491,,Y,2025-03-23
FEU39403707,,Y,2025-03-10
YYV49748182,,Y,2025-03-19
VOS48225675,WS-152843,N,2024-12-26
VDX21332768,,Y,2024-12-06
RIK42049608,WS-152657,N,2024-11-24
AJU62977911,WS-153317,N,2024-11-19
IIV59932284,,Y,2024-07-15
AOP66094088,,Y,2024-07-28
OYL84733681,WS-153430,N,2024-10-04
UIS47733380,WS-151000,N,2024-07-24
FDX97585035,,Y,2024-04-06
TIF15676124,WS-154171,N,2025-03-03
XTJ76543359,,Y,2024-10-14
SRS59131705,WS-153298,N,2024-05-08
PGT31782535,WS-155680,N,2024-08-21
FXP34652173,WS-150379,N,2025-01-29
HDF86208207,WS-154733,N,2024-09-10
EYR82831534,WS-150017,N,2025-03-01
NAY80254920,WS-150310,N,2024-05-14
VGN11570692,WS-150795,N,2024-06-14
CTL69837683,WS-151495,N,2024-05-03
WKD24536359,WS-151563,N,2024-07-30
HKD68003852,WS-152082,N,2024-12-01
SYB03719771,,Y,2025-02-28
IFW96996424,,Y,2024-05-24
ZZH79658145,,Y,2024-06-16
YKU45054240,WS-153936,N,2024-05-15
XUZ52861292,WS-154973,N,2024-05-22
OWM37912083,,Y,2024-09-12
CSQ01191281,WS-154393,N,2025-01-22
DCG54388481,,Y,2024-11-01
OIJ75195745,,Y,2024-10-14
PWH19340681,,Y,2024-04-26
IVD93824376,WS-154549,N,2025-01-16
ZRR36891290,,Y,2024-11-20
ILE42755645,,Y,2024-05-09
MRZ88363448,,Y,2024-07-26
ERF17448021,,Y,2024-05-11
IML03929130,,Y,2025-03-18
ENN83733997,WS-150826,N,2024-07-26
BAU25963746,WS-150922,N,2024-05-20
GKM94979270,WS-150890,N,2024-07-07
KJQ65478045,WS-152965,N,2024-07-02
FTP54674309,WS-153009,N,2025-02-03
FCP34686297,,Y,2024-08-08
PVN60323371,WS-152697,N,2024-12-19
YWL19262334,,Y,2025-02-22
XGO72055741,,Y,2024-11-12
IVL63522423,WS-150170,N,2025-01-28
EKB25894291,WS-153058,N,2024-07-06
CVH26527529,,Y,2024-12-05
LNG77809028,,Y,2024-12-11
KBA00822853,WS-154717,N,2024-09-01
