ws_id,ws_name,next_ws_id,is_available_flag,ws_bay_id
WS-155482,MEI Pharma,WS-155488,Y,D267
WS-154042,Upland Software,WS-154044,N,B64
WS-151252,Nuverra Environmental Solutions,WS-151254,Y,D342
WS-151717,Speedway Motorsports,WS-151727,Y,B219
WS-151105,Coty Inc.,WS-151108,N,B248
WS-155270,Inogen,WS-155275,Y,D73
WS-153431,Pacific Ethanol,WS-153439,Y,D301
WS-151657,Foresight Energy LP,WS-151662,N,D156
WS-153983,Allogene Therapeutics,WS-153990,N,D23
WS-155248,First Trust Dorsey Wright Momentum & Low Volatility ETF,WS-155252,N,B113
WS-153716,Aflac Incorporated,WS-153717,N,B243
WS-154033,Axcella Health Inc.,WS-154036,Y,D181
WS-151954,Universal Electronics Inc.,WS-151959,Y,D101
WS-151816,News Corporation,WS-151819,N,D410
WS-152743,Altus Midstream Company,WS-152744,N,D75
WS-150495,Hanger,WS-150504,Y,D392
WS-151271,BlackRock Long-Term Municipal Advantage Trust,WS-151279,Y,D34
WS-152835,American Finance Trust,WS-152843,Y,B100
WS-154230,Myers Industries,WS-154233,N,B476
WS-150434,MMA Capital Holdings,WS-150443,N,B2
WS-154795,Movado Group Inc.,WS-154804,Y,B459
WS-151806,MVB Financial Corp.,WS-151814,N,B192
WS-155945,Ascendis Pharma A/S,WS-155953,N,D384
WS-150930,Ladder Capital Corp,WS-150931,Y,D404
WS-155344,NXP Semiconductors N.V.,WS-155347,Y,D328
WS-150988,Mesa Royalty Trust,WS-150995,Y,D207
WS-153209,Yintech Investment Holdings Limited,WS-153215,N,B402
WS-152584,Fortinet,WS-152591,Y,B219
WS-155410,Verra Mobility Corporation,WS-155413,N,D439
WS-150402,Insurance Acquisition Corp.,WS-150404,N,B233
WS-153027,Tricida,WS-153035,N,B83
WS-150097,IBO (Listing Market - NYSE Amex Network B F),WS-150105,N,D390
WS-155445,Regions Financial Corporation,WS-155447,N,B37
WS-153878,Bellerophon Therapeutics,WS-153880,Y,B492
WS-154731,Enerplus Corporation,WS-154738,N,D205
WS-153582,Movado Group Inc.,WS-153584,N,D54
WS-153605,Taitron Components Incorporated,WS-153608,Y,D197
WS-155155,Mid-America Apartment Communities,WS-155165,N,B180
WS-153569,Nuveen Preferred and Income Term Fund,WS-153575,N,D246
WS-152221,EVI Industries,WS-152229,Y,D345
WS-151008,Livent Corporation,WS-151011,N,B406
WS-150382,Tortoise Acquisition Corp.,WS-150390,N,D293
WS-152431,Xenetic Biosciences,WS-152436,N,D67
WS-155238,Harmony Gold Mining Company Limited,WS-155239,Y,B366
WS-151953,Optibase Ltd.,WS-151960,N,B387
WS-154225,Grupo Televisa S.A.,WS-154229,N,B207
WS-152538,Fortis Inc.,WS-152541,N,B101
WS-150689,NGM Biopharmaceuticals,WS-150696,N,B36
WS-152070,Illumina,WS-152080,N,B174
WS-155098,Anavex Life Sciences Corp.,WS-155107,Y,D45
WS-154314,Blackbaud,WS-154318,N,D434
WS-154124,Chembio Diagnostics,WS-154133,N,B21
WS-154997,Enersys,WS-155001,Y,D392
WS-154104,Signet Jewelers Limited,WS-154106,Y,B9
WS-153637,Hope Bancorp,WS-153641,Y,B78
WS-153503,Rekor Systems,WS-153508,N,D271
WS-153783,American Woodmark Corporation,WS-153785,N,D363
WS-155526,Smart Sand,WS-155528,N,B479
WS-155160,Putnam Managed Municipal Income Trust,WS-155169,Y,D285
WS-151686,Amyris,WS-151694,N,D321
WS-153544,Westlake Chemical Partners LP,WS-153547,N,B444
WS-152352,Penumbra,WS-152354,N,D26
WS-152143,Rayonier Advanced Materials Inc.,WS-152149,Y,D34
WS-152818,GWG Holdings,WS-152827,N,B92
WS-151832,Invesco Golden Dragon China ETF,WS-151835,N,D122
WS-152722,New Providence Acquisition Corp.,WS-152728,N,D176
WS-150986,BioXcel Therapeutics,WS-150990,N,B259
WS-154255,Corbus Pharmaceuticals Holdings,WS-154262,Y,B263
WS-155492,Artelo Biosciences,WS-155498,Y,B213
WS-151770,Meritor,WS-151774,N,D337
WS-151647,People&#39;s Utah Bancorp,WS-151657,Y,D3
WS-155237,NVR,WS-155247,Y,D289
WS-154017,First Trust Total US Market AlphaDEX ETF,WS-154021,Y,B489
WS-154465,The Cheesecake Factory Incorporated,WS-154471,N,B87
WS-150434,IDEX Corporation,WS-150436,N,B148
WS-151404,National Western Life Group,WS-151413,Y,D196
WS-155922,SPAR Group,WS-155924,N,D125
WS-152045,Berkshire Hills Bancorp,WS-152046,Y,B309
WS-155607,Allergan plc.,WS-155616,N,B336
WS-154355,Sabine Royalty Trust,WS-154360,Y,D249
WS-155102,Kadant Inc,WS-155104,N,D377
WS-154499,First Choice Bancorp,WS-154501,Y,B292
